	 Total Time (s)	Calls (kCalls)
INTERPOL_HALF_32x64	0.0404274	1.456
Dist_HAD_32x64	0.111907	27.3
INTERPOL_QUARTER_32x64	0.0891952	1.456
Dist_SAD_64x32	0.0434819	61.88
Dist_SAD_64x32sub	0.0145261	21.548
INTERPOL_HALF_64x32	0.0408184	1.456
Dist_HAD_64x32	0.111689	27.3
INTERPOL_QUARTER_64x32	0.0903138	1.456
TR_DCT_4x4	0.0979245	706.728
Dist_SSE_4x4	0.126265	1610.42
Dist_SAD_32x32	0.0520362	132.6
Dist_SAD_32x32sub	0.0211596	53.731
INTERPOL_HALF_32x32	0.0461923	3.12
Dist_HAD_32x32	0.133643	62.565
INTERPOL_QUARTER_32x32	0.10017	3.12
Dist_SAD_16x32	0.0645628	265.2
Dist_SAD_16x32sub	0.0230512	98.729
INTERPOL_HALF_16x32	0.0491925	6.24
Dist_HAD_16x32	0.133716	117
INTERPOL_QUARTER_16x32	0.105245	6.24
Dist_SAD_32x16	0.0666942	265.2
Dist_SAD_32x16sub	0.0228816	97.728
INTERPOL_HALF_32x16	0.050149	6.24
Dist_HAD_32x16	0.132325	117
INTERPOL_QUARTER_32x16	0.104366	6.24
Dist_SAD_16x16	0.098133	530.4
Dist_SAD_16x16sub	0.0379355	227.231
INTERPOL_HALF_16x16	0.0559507	12.48
Dist_HAD_16x16	0.15174	239.27
INTERPOL_QUARTER_16x16	0.111546	12.48
Dist_SAD_8x16	0.100102	1060.8
Dist_SAD_8x16sub	0.0375674	378.455
INTERPOL_HALF_8x16	0.0638403	24.96
Dist_HAD_8x16	0.152554	468
INTERPOL_QUARTER_8x16	0.122863	24.96
Dist_SAD_16x8	0.201577	1430.32
INTERPOL_HALF_16x8	0.064928	24.96
Dist_HAD_16x8	0.155194	468
INTERPOL_QUARTER_16x8	0.122383	24.96
Dist_SAD_8x8	0.323155	2918.51
INTERPOL_HALF_8x8	0.0810865	49.92
Dist_HAD_8x8	0.196506	928.1
INTERPOL_QUARTER_8x8	0.138669	49.92
Dist_SAD_4x8	0.158455	1506
INTERPOL_HALF_4x8	0.0541464	49.92
Dist_HAD_4x8	0.141191	973.44
INTERPOL_QUARTER_4x8	0.0835168	49.92
Dist_SAD_8x4	0.16589	1497.52
INTERPOL_HALF_8x4	0.0576118	49.92
Dist_HAD_8x4	0.145635	973.44
INTERPOL_QUARTER_8x4	0.0863016	49.92
TR_iDCT_16x16	0.0446408	24.851
TR_iDCT_32x32	0.0649004	6.443
Dist_HAD_32x8	0.0122473	19.7
Dist_HAD_32x24	0.0331728	19.7
Dist_HAD_8x32	0.0189522	28.88
Dist_HAD_24x32	0.0497416	28.88
Dist_HAD_64x16	0.000994101	0.43
Dist_HAD_64x48	0.00274051	0.43
Dist_HAD_16x64	0.00125027	0.54
Dist_HAD_48x64	0.00342109	0.54
TR_iDCT_8x8	0.0278279	56.804
TR_iDCT_4x4	0.0152262	57.53
Dist_HAD_16x4	0.0127113	58.02
Dist_HAD_16x12	0.0273457	58.02
Dist_HAD_4x16	0.01664	72.09
Dist_HAD_12x16	0.0345954	72.09
TR_DST_4x4	0.0115033	42.282
TR_iDST_4x4	0.0058051	23.965
Dist_SAD_32x8	0.0182099	64.034
INTERPOL_HALF_32x8	0.00471865	0.992
INTERPOL_QUARTER_32x8	0.00928286	0.992
Dist_SAD_32x24	0.0174607	42.16
Dist_SAD_32x24sub	0.00526328	14.764
INTERPOL_HALF_32x24	0.011402	0.992
INTERPOL_QUARTER_32x24	0.0246919	0.992
Dist_SAD_8x32	0.0137573	63.24
Dist_SAD_8x32sub	0.00643071	36.955
INTERPOL_HALF_8x32	0.0068991	1.488
INTERPOL_QUARTER_8x32	0.014538	1.488
Dist_SAD_24x32	0.0282361	63.24
Dist_SAD_24x32sub	0.0102681	26.775
INTERPOL_HALF_24x32	0.017336	1.488
INTERPOL_QUARTER_24x32	0.0382494	1.488
Dist_HAD_4x4	0.0219923	118.16
Dist_SAD_16x4	0.0323515	184.202
INTERPOL_HALF_16x4	0.00527723	2.912
INTERPOL_QUARTER_16x4	0.00892381	2.912
Dist_SAD_16x12	0.0299339	123.76
Dist_SAD_16x12sub	0.0101648	49.205
INTERPOL_HALF_16x12	0.0105678	2.912
INTERPOL_QUARTER_16x12	0.021101	2.912
Dist_SAD_4x16	0.0253228	156.4
Dist_SAD_4x16sub	0.0106613	90.963
INTERPOL_HALF_4x16	0.00629975	3.68
INTERPOL_QUARTER_4x16	0.0109883	3.68
Dist_SAD_12x16	0.0397342	156.4
Dist_SAD_12x16sub	0.0144612	68.239
INTERPOL_HALF_12x16	0.0133614	3.68
INTERPOL_QUARTER_12x16	0.0266908	3.68

Frame	5
Others	7.94003	18249.3
