	 Total Time (s)	Calls (kCalls)
TR_iDCT_32x32_0	0.0155431	1.235
TR_iDCT_16x16_0	0.00583451	3.04
TR_iDCT_32x32_1	0.00890521	0.705
TR_iDCT_16x16_1	0.00478788	2.458
DIST_HAD_16x64	0.000544561	0.29
DIST_HAD_48x64	0.0015926	0.29
TR_iDCT_8x8_0	0.000635542	1.555
TR_iDCT_8x8_1	0.00205545	4.977
TR_iDCT_4x4_1	0.000210884	1.522
TR_DST_4x4_1	0.000365556	2.944
TR_iDST_4x4_1	0.000180158	1.076
DIST_HAD_64x16	0.000293492	0.16
DIST_HAD_64x48	0.000865289	0.16

Frame	6
Others	2.26298	3086.04
TR_DCT_32x32_0	0.0341075	3.252
DIST_SSE_32x32	0.00924829	13.615
TR_DCT_16x16_0	0.0264389	16.904
DIST_SSE_16x16	0.00953212	45.301
TR_DCT_8x8_0	0.00708656	24.544
DIST_SSE_8x8	0.00771787	89.577
DIST_SSE_64x64	0.00315948	1.056
DIST_SAD_64x64	0.0395387	30.94
DIST_SAD_64x64sub	0.0201872	16.389
INTERPOL_HALF_64x64	0.039018	0.728
DIST_HAD_64x64	0.103488	14.364
INTERPOL_QUARTER_64x64	0.0815656	0.728
DIST_SAD_32x64	0.0383478	61.88
DIST_SAD_32x64sub	0.0173354	27.951
INTERPOL_HALF_32x64	0.0418451	1.456
DIST_HAD_32x64	0.0984415	27.3
INTERPOL_QUARTER_32x64	0.0879765	1.456
DIST_SAD_64x32	0.0403071	61.88
DIST_SAD_64x32sub	0.0152154	24.255
INTERPOL_HALF_64x32	0.0406067	1.456
DIST_HAD_64x32	0.0985211	27.3
INTERPOL_QUARTER_64x32	0.0840021	1.456
TR_DCT_32x32_1	0.0272829	2.59
TR_DCT_16x16_1	0.0247104	15.546
TR_DCT_8x8_1	0.0173907	58.776
TR_DCT_4x4_1	0.0076953	81.856
DIST_SSE_4x4	0.00683574	164.49
DIST_SAD_32x32	0.0399048	123.76
DIST_SAD_32x32sub	0.0206185	63.162
INTERPOL_HALF_32x32	0.0440381	2.912
DIST_HAD_32x32	0.10064	55.286
INTERPOL_QUARTER_32x32	0.0910804	2.912
DIST_SAD_16x16	0.0498308	495.04
DIST_SAD_16x16sub	0.0268392	265.031
INTERPOL_HALF_16x16	0.0570324	11.648
DIST_HAD_16x16	0.108906	229.88
INTERPOL_QUARTER_16x16	0.111179	11.648
DIST_SAD_16x32	0.044197	247.52
DIST_SAD_16x32sub	0.0211017	118.577
INTERPOL_HALF_16x32	0.051403	5.824
DIST_HAD_16x32	0.101745	109.2
INTERPOL_QUARTER_16x32	0.104751	5.824
DIST_SAD_32x16	0.0428636	247.52
DIST_SAD_32x16sub	0.0204476	117.859
INTERPOL_HALF_32x16	0.0482575	5.824
DIST_HAD_32x16	0.102104	109.2
INTERPOL_QUARTER_32x16	0.0961196	5.824
DIST_HAD_64x16	0.000549269	0.3
DIST_HAD_64x48	0.00162219	0.3
DIST_HAD_16x64	0.00074813	0.4
