	 Total Time (s)	Calls (kCalls)
INTERPOL_QUARTER_64x32	0.0868702	1.456
TR_iDCT_32x32_0	0.0283802	2.166
TR_iDCT_16x16_0	0.00893565	4.54
TR_iDCT_8x8_0	0.00177366	4.428
TR_DCT_4x4_0	0.000566989	5.84
DIST_SSE_4x4	0.000262428	5.84
TR_iDCT_4x4_0	0.000197794	1.451

Frame	8
Others	1.17662	830.509
TR_DCT_32x32_0	0.0596749	5.498
DIST_SSE_32x32	0.00671604	9.753
TR_DCT_16x16_0	0.0338615	20.984
DIST_SSE_16x16	0.00571156	28.039
TR_DCT_8x8_0	0.011869	40.316
DIST_SSE_8x8	0.00334438	43.177
TR_iDCT_32x32_0	0.0582497	4.49
DIST_SSE_64x64	0.00362877	1.162
DIST_SAD_64x64	0.041037	30.94
DIST_SAD_64x64sub	0.0260719	20.242
INTERPOL_HALF_64x64	0.0401603	0.728
DIST_HAD_64x64	0.114747	15.484
INTERPOL_QUARTER_64x64	0.0842202	0.728
DIST_SAD_32x32	0.0414932	123.76
DIST_SAD_32x32sub	0.0329306	94.896
INTERPOL_HALF_32x32	0.0452688	2.912
DIST_HAD_32x32	0.119942	64.12
INTERPOL_QUARTER_32x32	0.0938482	2.912
DIST_SAD_32x64	0.0403078	61.88
DIST_SAD_32x64sub	0.0208056	32.367
INTERPOL_HALF_32x64	0.043409	1.456
DIST_HAD_32x64	0.102279	27.3
INTERPOL_QUARTER_32x64	0.0915952	1.456
DIST_SAD_64x32	0.0419109	61.88
DIST_SAD_64x32sub	0.0264329	39.957
INTERPOL_HALF_64x32	0.0420494	1.456
DIST_HAD_64x32	0.101617	27.3
INTERPOL_QUARTER_64x32	0.0872418	1.456
TR_iDCT_16x16_0	0.0197938	10.092
TR_iDCT_8x8_0	0.00575673	14.111
TR_DCT_4x4_0	0.00163399	17.04
DIST_SSE_4x4	0.00076015	17.04
TR_iDCT_4x4_0	0.000732755	5.576

Frame	9
Others	0.74308	726.425
TR_DCT_32x32_0	0.0373602	3.451
DIST_SSE_32x32	0.00427008	6.227
TR_DCT_16x16_0	0.0256075	16.002
DIST_SSE_16x16	0.00369025	18.289
TR_DCT_8x8_0	0.00729754	25.038
DIST_SSE_8x8	0.00199613	25.589
DIST_SSE_64x64	0.0030427	0.988
DIST_SAD_64x64	0.0409019	30.94
DIST_SAD_64x64sub	0.0292336	23.004
INTERPOL_HALF_64x64	0.0400959	0.728
DIST_HAD_64x64	0.104589	14.119
INTERPOL_QUARTER_64x64	0.0840134	0.728
DIST_SAD_32x32	0.0416117	123.76
DIST_SAD_32x32sub	0.0305943	88.685
INTERPOL_HALF_32x32	0.0454718	2.912
DIST_HAD_32x32	0.110431	58.66
INTERPOL_QUARTER_32x32	0.0937406	2.912
DIST_SAD_32x64	0.0398843	61.88
DIST_SAD_32x64sub	0.0224112	34.574
INTERPOL_HALF_32x64	0.0430968	1.456
DIST_HAD_32x64	0.101352	27.3
INTERPOL_QUARTER_32x64	0.0904625	1.456
DIST_SAD_64x32	0.0419311	61.88
DIST_SAD_64x32sub	0.0285205	43.087
INTERPOL_HALF_64x32	0.0417795	1.456
DIST_HAD_64x32	0.101232	27.3
INTERPOL_QUARTER_64x32	0.0864149	1.456
TR_iDCT_32x32_0	0.0244167	1.879
TR_iDCT_16x16_0	0.00750735	3.822
TR_iDCT_8x8_0	0.00156011	3.907
TR_DCT_4x4_0	0.000576252	5.8
DIST_SSE_4x4	0.000260468	5.8
TR_iDCT_4x4_0	0.000174116	1.339

Frame	10
Others	0.842427	750.465
TR_DCT_32x32_0	0.0419452	3.88
DIST_SSE_32x32	0.00482203	7.015
TR_DCT_16x16_0	0.027455	17.104
DIST_SSE_16x16	0.00409084	20.321
TR_DCT_8x8_0	0.0083655	28.478
DIST_SSE_8x8	0.00225207	29.298
DIST_SSE_64x64	0.0032199	1.028
DIST_SAD_64x64	0.040805	30.94
DIST_SAD_64x64sub	0.0272295	21.17
INTERPOL_HALF_64x64	0.0402595	0.728
DIST_HAD_64x64	0.106684	14.399
INTERPOL_QUARTER_64x64	0.0842908	0.728
DIST_SAD_32x32	0.0413836	123.76
DIST_SAD_32x32sub	0.0318534	92.937
INTERPOL_HALF_32x32	0.0450925	2.912
DIST_HAD_32x32	0.111812	59.78
INTERPOL_QUARTER_32x32	0.0934451	2.912
DIST_SAD_32x64	0.0401012	61.88
DIST_SAD_32x64sub	0.0223064	34.472
INTERPOL_HALF_32x64	0.0433788	1.456
DIST_HAD_32x64	0.101422	27.3
INTERPOL_QUARTER_32x64	0.0906276	1.456
DIST_SAD_64x32	0.0423217	61.88
DIST_SAD_64x32sub	0.0282414	43.027
INTERPOL_HALF_64x32	0.0420512	1.456
DIST_HAD_64x32	0.102065	27.3
INTERPOL_QUARTER_64x32	0.0875023	1.456
TR_iDCT_32x32_0	0.0321041	2.459
TR_iDCT_16x16_0	0.00996824	5.065
TR_iDCT_8x8_0	0.00221994	5.534
TR_DCT_4x4_0	0.000763147	8.2
DIST_SSE_4x4	0.000362227	8.2
TR_iDCT_4x4_0	0.000243277	1.933

Frame	11
Others	0.833093	763.883
TR_DCT_32x32_0	0.0393813	3.625
DIST_SSE_32x32	0.00451171	6.506
TR_DCT_16x16_0	0.0265488	16.41
DIST_SSE_16x16	0.00386571	19.24
TR_DCT_8x8_0	0.00782669	26.534
DIST_SSE_8x8	0.00214872	27.354
DIST_SSE_64x64	0.00307474	0.998
DIST_SAD_64x64	0.0409413	30.94
DIST_SAD_64x64sub	0.0344823	26.584
INTERPOL_HALF_64x64	0.0402649	0.728
DIST_HAD_64x64	0.10609	14.259
INTERPOL_QUARTER_64x64	0.084337	0.728
DIST_SAD_32x32	0.0417187	123.76
DIST_SAD_32x32sub	0.035001	102.404
INTERPOL_HALF_32x32	0.0454903	2.912
DIST_HAD_32x32	0.110945	59.22
INTERPOL_QUARTER_32x32	0.0938836	2.912
DIST_SAD_32x64	0.0401238	61.88
DIST_SAD_32x64sub	0.0229897	35.551
INTERPOL_HALF_32x64	0.0433499	1.456
DIST_HAD_32x64	0.101868	27.3
INTERPOL_QUARTER_32x64	0.0912334	1.456
DIST_SAD_64x32	0.0418644	61.88
DIST_SAD_64x32sub	0.0345985	52.999
INTERPOL_HALF_64x32	0.04207	1.456
DIST_HAD_64x32	0.102187	27.3
INTERPOL_QUARTER_64x32	0.0869906	1.456
TR_iDCT_32x32_0	0.0273481	2.106
TR_iDCT_16x16_0	0.00889638	4.526
TR_iDCT_8x8_0	0.00189581	4.74
TR_DCT_4x4_0	0.000632804	6.6
DIST_SSE_4x4	0.000293319	6.6
TR_iDCT_4x4_0	0.000186517	1.462

Frame	12
Others	1.26197	904.506
TR_DCT_32x32_0	0.0605904	5.589
DIST_SSE_32x32	0.00688653	9.964
TR_DCT_16x16_0	0.0342762	21.314
DIST_SSE_16x16	0.00573076	28.62
TR_DCT_8x8_0	0.0118493	40.252
DIST_SSE_8x8	0.00334837	43.269
DIST_SSE_64x64	0.00363866	1.168
DIST_SAD_64x64	0.041051	30.94
DIST_SAD_64x64sub	0.0395299	30.359
INTERPOL_HALF_64x64	0.0402562	0.728
DIST_HAD_64x64	0.115893	15.554
INTERPOL_QUARTER_64x64	0.0848835	0.728
DIST_SAD_32x32	0.0415688	123.76
DIST_SAD_32x32sub	0.0421398	121.69
INTERPOL_HALF_32x32	0.0454836	2.912
DIST_HAD_32x32	0.12091	64.4
INTERPOL_QUARTER_32x32	0.0945536	2.912
DIST_SAD_32x64	0.0398477	61.88
DIST_SAD_32x64sub	0.0302047	46.167
INTERPOL_HALF_32x64	0.0432008	1.456
DIST_HAD_32x64	0.10179	27.3
INTERPOL_QUARTER_32x64	0.0916261	1.456
DIST_SAD_64x32	0.0419092	61.88
DIST_SAD_64x32sub	0.0382892	58.008
INTERPOL_HALF_64x32	0.0418652	1.456
DIST_HAD_64x32	0.101634	27.3
INTERPOL_QUARTER_64x32	0.0866627	1.456
TR_iDCT_16x16_0	0.0207473	10.587
TR_iDCT_32x32_0	0.0609779	4.681
TR_iDCT_8x8_0	0.00563632	14.284
TR_DCT_4x4_0	0.00172684	18.16
TR_iDCT_4x4_0	0.000761264	6.115
DIST_SSE_4x4	0.000796284	18.16

Frame	13
Others	0.841649	812.03
TR_DCT_32x32_0	0.0391386	3.592
DIST_SSE_32x32	0.0044836	6.398
TR_DCT_16x16_0	0.0264533	16.462
DIST_SSE_16x16	0.00382919	18.914
TR_DCT_8x8_0	0.00765712	26.012
DIST_SSE_8x8	0.00213374	26.642
DIST_SSE_64x64	0.00311702	1
DIST_SAD_64x64	0.0410897	30.94
DIST_SAD_64x64sub	0.0481786	37.526
